symbol,name,company_id
BINHO,1000 YATIRIMLAR HOLDİNG A.Ş.,8acae2c48b2fa25a018bba0a5034596d
BIOEN,BİOTREND ÇEVRE VE ENERJİ YATIRIMLARI A.Ş.,8acae2c4780814e2017826e1e07318d8
BIZIM,BİZİM TOPTAN SATIŞ MAĞAZALARI A.Ş.,4028e4a1416e696301416ec4471d280d
BJKAS,BEŞİKTAŞ FUTBOL YATIRIMLARI SANAYİ VE TİCARET A.Ş.,4028e4a241a25fcb0141a276cda10189
BLCYT,BİLİCİ YATIRIM SANAYİ VE TİCARET A.Ş.,4028e4a2413b80d1014144caf7b90037
BLKOM,BİLKOM BİLİŞİM HİZMETLERİ A.Ş.,4028e4a14a5df521014b02a116c7424a
BLS,BULLS YATIRIM MENKUL DEĞERLER A.Ş.,4028e4a2415f4f8401415ffac5a034a9
BLSMD,BULLS YATIRIM MENKUL DEĞERLER A.Ş.,4028e4a2415f4f8401415ffac5a034a9
BLUME,BLUME METAL KİMYA A.Ş.,4028e4a240f2ef4c0140f2f8fdcd0002
BMSCH,BMS ÇELİK HASIR SANAYİ VE TİCARET A.Ş.,8acae2c56eccfc0c016f18f5b1e21747
BMSTL,BMS BİRLEŞİK METAL SANAYİ VE TİCARET A.Ş.,8acae2c47f7cb49201802bda6cbf6b77
BNTAS,BANTAŞ BANDIRMA AMBALAJ SANAYİ VE TİCARET A.Ş.,402821824da3aa9b014ef2c4cda22947
BOBET,BOĞAZİÇİ BETON SANAYİ VE TİCARET A.Ş.,8acae2c4782a4d560178d45481dc5948
BORLS,BORLEASE OTOMOTİV A.Ş.,8acae2c486d22a3a018b03b5cfbe29b8
BORSK,BOR ŞEKER A.Ş.,8acae2c58b2fa64e018d63bcd2684e71
BOSSA,BOSSA TİCARET VE SANAYİ İŞLETMELERİ T.A.Ş.,4028e4a1415f4d9b014160053ed13d39
BRGAN,BURGAN BANK A.Ş.,4028e4a140ee35c70140ee3e44840009
BRGFK,BURGAN FİNANSAL KİRALAMA A.Ş.,4028e4a241462fd8014155181e226ec8
